unixtime	low	high	open	close	volume	intervallStart_datetime	EMA_12	EMA_26	MACD	Signal_Line	Histogram	Histogram_Delta_Percentage	Histogram_Extrems	MFI
1512800100	13460.59	13580.0	13550.0	13464.62	8.259407449999982	2017-12-09 07:15:00	13525.6380512	13547.3308914	-21.6928402308	13.8054567302	-35.498296961	0.110219166634		38.59368039585524
1512801000	13309.0	13461.16	13461.16	13309.05	7.129800219999975	2017-12-09 07:30:00	13492.3168126	13529.680455	-37.3636424756	3.57163688907	-40.9352793646	-0.153161781524	Maximum	34.760903589162425
1512801900	13300.0	13350.07	13309.06	13338.69	8.234647689999987	2017-12-09 07:45:00	13468.6819183	13515.5330139	-46.8510956021	-6.51290960916	-40.3381859929	0.0145862781684	Minimum	30.63786182716349
1512802800	13338.68	13554.2	13338.69	13500.1	14.013774399999962	2017-12-09 08:00:00	13473.5154694	13514.3898277	-40.8743583582	-13.385199359	-27.4891589992	0.318532593309		30.590166225464884
1512803700	13500.09	13556.48	13500.1	13502.92	13.748349349999964	2017-12-09 08:15:00	13478.0392433	13513.5402108	-35.5009675447	-17.8083529961	-17.6926145486	0.356378470904		37.4817783908029
1512804600	13382.67	13529.99	13502.91	13408.14	13.144393099999967	2017-12-09 08:30:00	13467.2855136	13505.7327878	-38.4472742574	-21.9361372484	-16.511137009	0.0667780070819		32.871097317641016
1512805500	13366.58	13409.73	13408.15	13367.09	16.14295215999996	2017-12-09 08:45:00	13451.8708192	13495.4629517	-43.5921325165	-26.267336302	-17.3247962145	-0.0492794169797	Maximum	29.201850771068507
1512806400	13338.36	13380.0	13375.73	13354.98	14.490968609999944	2017-12-09 09:00:00	13436.9645393	13485.0568071	-48.092267819	-30.6323226054	-17.4599452136	-0.0078008997882		24.450513191548197
1512807300	13301.0	13357.0	13351.21	13301.33	17.284627819999926	2017-12-09 09:15:00	13416.0976871	13471.447414	-55.3497268985	-35.575803464	-19.7739234345	-0.13253066906		26.59980915175106
1512808200	13232.02	13420.0	13301.0	13409.0	21.977634670000025	2017-12-09 09:30:00	13415.0057352	13466.8216796	-51.8159443893	-38.8238316491	-12.9921127403	0.342967379069	Minimum	38.856283147786684
1512809100	13301.01	13410.0	13409.01	13368.62	17.93510723999995	2017-12-09 09:45:00	13407.8694683	13459.5474811	-51.6780128578	-41.3946678908	-10.283344967	0.208493247208		41.33988267185301
1512810000	13352.0	13445.0	13368.67	13397.54	16.710068869999958	2017-12-09 10:00:00	13406.2803193	13454.9543344	-48.6740150725	-42.8505373272	-5.82347774539	0.433698104644		48.419028208836146
1512810900	13379.59	13436.53	13379.59	13402.4	24.13191391000006	2017-12-09 10:15:00	13405.6833471	13451.0614207	-45.3780736161	-43.3560445849	-2.02202903112	0.652779813107		62.006977075872584
1512811800	13361.0	13413.88	13402.4	13361.46	21.80613891000005	2017-12-09 10:30:00	13398.8797552	13444.4242784	-45.544523203	-43.7937403085	-1.75078289442	0.134145520429		52.53844187914296
1512812700	13360.0	13428.0	13361.36	13383.56	19.801407070000025	2017-12-09 10:45:00	13396.5228698	13439.9158134	-43.3929435551	-43.7135809578	0.320637402786	1.18313944225		54.77450210673916
1512813600	13369.77	13399.34	13383.55	13369.77	19.997136920000006	2017-12-09 11:00:00	13392.4070437	13434.7198272	-42.3127835055	-43.4334214674	1.12063796187	2.49503193369		52.00032825494413
1512814500	13360.0	13400.0	13369.74	13369.99	16.73790691999995	2017-12-09 11:15:00	13388.9582677	13429.9250252	-40.9667574438	-42.9400886627	1.97333121884	0.760899849889		49.205412126326635
1512815400	13265.57	13384.63	13370.0	13265.57	19.664929650000012	2017-12-09 11:30:00	13369.9754573	13417.7505789	-47.7751215557	-43.9070952413	-3.86802631442	-2.96015057051	Maximum	44.20750135805339
1512816300	13255.01	13329.91	13271.79	13256.81	20.003405839999974	2017-12-09 11:45:00	13352.565387	13405.8290545	-53.2636675515	-45.7784097033	-7.4852578482	-0.935162080027		37.69552357054885
1512817200	13105.13	13256.61	13256.61	13209.99	22.519536110000075	2017-12-09 12:00:00	13330.630712	13391.3224579	-60.6917458383	-48.7610769303	-11.930668908	-0.593888834548		36.82948834837862
1512818100	13149.02	13287.54	13209.99	13287.54	24.96868528000009	2017-12-09 12:15:00	13324.0013717	13383.6348684	-59.6334966802	-50.9355608803	-8.69793579988	0.270959921277	Minimum	43.862897315153475
1512819000	13285.85	13333.0	13287.54	13319.75	18.679750089999963	2017-12-09 12:30:00	13323.3473145	13378.9026559	-55.5553413947	-51.8595169832	-3.69582441152	0.575091780791		51.424363349720295
1512819900	13286.49	13327.0	13319.75	13327.0	20.976194010000018	2017-12-09 12:45:00	13323.9092662	13375.0580148	-51.1487486053	-51.7173633076	0.568614702314	1.15385327846		57.28021888410214
1512820800	13326.99	13350.0	13326.99	13350.0	14.411073309999935	2017-12-09 13:00:00	13327.9232252	13373.2018655	-45.2786403104	-50.4296187081	5.15097839777	8.05882028167		57.8298190400089
1512821700	13349.99	13391.88	13349.99	13378.0	16.971565489999954	2017-12-09 13:15:00	13335.6273444	13373.5572829	-37.9299384803	-47.9296826626	9.99974418223	0.941329085473		56.67963116635652
1512822600	13216.74	13378.75	13377.98	13236.69	15.059809639999953	2017-12-09 13:30:00	13320.4062145	13363.4189656	-43.012751138	-46.9462963577	3.9335452197	-0.606635415065	Maximum	50.393808880865606
1512823500	13200.0	13232.98	13226.12	13200.0	18.633991879999982	2017-12-09 13:45:00	13301.8821815	13351.3138571	-49.4316755718	-47.4433722005	-1.98830337135	-1.50547362755		44.62823812324303
1512824400	13200.0	13289.67	13200.01	13286.14	13.435459529999946	2017-12-09 14:00:00	13299.4603074	13346.486164	-47.025856532	-47.3598690668	0.334012534767	1.16798871821	Minimum	52.432498858864946
1512825300	13241.42	13294.0	13289.65	13284.56	14.025329819999936	2017-12-09 14:15:00	13297.1679524	13341.8990407	-44.731088264	-46.8341129062	2.10302464223	5.29624467146		50.88101363211154
1512826200	13209.76	13289.62	13284.56	13246.0	14.101121469999953	2017-12-09 14:30:00	13289.2959598	13334.7954081	-45.4994483017	-46.5671799853	1.06773168361	-0.492287602261	Maximum	52.061672549690215
1512827100	13224.54	13281.99	13245.99	13236.0	14.36790125999994	2017-12-09 14:45:00	13281.0965813	13327.4772297	-46.3806483506	-46.5298736584	0.149225307762	-0.860240817002		53.326455580843174
1512828000	13221.63	13239.75	13235.99	13223.62	12.480188049999965	2017-12-09 15:00:00	13272.2540304	13319.7841016	-47.5300711998	-46.7299131667	-0.800158033097	-6.3620799655		53.87043486164936
1512828900	13150.14	13223.62	13223.62	13190.0	14.595321099999945	2017-12-09 15:15:00	13259.5995641	13310.1704644	-50.5709002559	-47.4981105845	-3.07278967141	-2.84022848526		55.49935590622499
1512829800	13189.99	13225.0	13190.0	13224.29	13.544059889999955	2017-12-09 15:30:00	13254.1673235	13303.8089485	-49.6416250121	-47.92681347	-1.71481154207	0.441936570527	Minimum	62.970268785414284
1512830700	13161.0	13240.77	13224.44	13162.0	13.271279179999953	2017-12-09 15:45:00	13239.9877353	13293.304582	-53.3168466871	-49.0048201135	-4.31202657361	-1.51457753101	Maximum	55.55216210224114
