unixtime	low	high	open	close	volume	intervallStart_datetime
1512884400	11783.25	11825.0	11825.0	11799.51	1.17555197	2017-12-10 06:40:00
1512884460	11733.68	11799.51	11799.51	11762.09	1.2641869499999998	2017-12-10 06:41:00
1512884520	11712.44	11749.97	11733.54	11732.9	1.5566406600000002	2017-12-10 06:42:00
1512884580	11702.44	11732.55	11723.45	11702.44	0.7694010099999999	2017-12-10 06:43:00
1512884640	11698.12	11725.23	11725.23	11718.0	0.7670275900000001	2017-12-10 06:44:00
1512884700	11717.99	11718.0	11718.0	11718.0	3.2535793499999994	2017-12-10 06:45:00
1512884760	11718.0	11731.52	11718.0	11731.52	0.9428494700000001	2017-12-10 06:46:00
1512884820	11731.52	11756.96	11731.52	11756.96	0.32633946	2017-12-10 06:47:00
1512884880	11756.96	11766.96	11756.96	11766.96	0.25846824999999995	2017-12-10 06:48:00
1512884940	11766.95	11766.96	11766.96	11766.96	0.3898099	2017-12-10 06:49:00
1512885000	11761.28	11766.96	11766.96	11764.36	1.7301887500000002	2017-12-10 06:50:00
1512885060	11732.07	11763.31	11763.31	11743.96	0.93359502	2017-12-10 06:51:00
1512885120	11684.82	11735.09	11735.09	11684.82	1.11853295	2017-12-10 06:52:00
1512885180	11667.42	11691.76	11684.82	11667.51	1.2001249100000002	2017-12-10 06:53:00
1512885240	11667.51	11743.04	11667.51	11743.04	3.3006683100000003	2017-12-10 06:54:00
1512885300	11713.8	11739.5	11713.8	11727.0	1.09679752	2017-12-10 06:55:00
1512885360	11727.0	11771.13	11727.0	11770.25	1.20482538	2017-12-10 06:56:00
1512885420	11770.24	11785.29	11770.25	11785.29	0.6178149100000001	2017-12-10 06:57:00
1512885480	11738.51	11785.31	11785.31	11738.51	0.52667125	2017-12-10 06:58:00
1512885540	11738.51	11783.73	11738.51	11783.73	0.16483513	2017-12-10 06:59:00
1512885600	11783.6	11794.04	11783.73	11787.79	0.72915405	2017-12-10 07:00:00
1512885660	11800.0	11826.74	11800.0	11824.18	0.09920000000000001	2017-12-10 07:01:00
1512885720	11824.17	11824.18	11824.18	11824.18	0.30415453000000003	2017-12-10 07:02:00
1512885780	11824.18	11884.74	11824.18	11884.71	0.87916578	2017-12-10 07:03:00
1512885840	11884.83	11901.74	11884.83	11901.73	1.50097863	2017-12-10 07:04:00
1512885900	11901.06	11901.74	11901.73	11901.74	1.4728926000000002	2017-12-10 07:05:00
1512885960	11901.74	11910.0	11901.74	11907.09	3.2975444099999995	2017-12-10 07:06:00
1512886020	11900.0	11900.45	11900.45	11900.01	0.6632595600000001	2017-12-10 07:07:00
1512886080	11900.0	11900.01	11900.01	11900.0	1.16952633	2017-12-10 07:08:00
1512886140	11835.36	11900.01	11900.01	11851.0	1.5566369100000002	2017-12-10 07:09:00
1512886200	11821.8	11849.72	11849.72	11824.22	0.17912032	2017-12-10 07:10:00
1512886260	11821.6	11836.35	11824.21	11836.35	1.10045177	2017-12-10 07:11:00
1512886320	11800.0	11875.85	11839.07	11829.11	2.04281004	2017-12-10 07:12:00
1512886380	11817.98	11829.99	11829.1	11820.16	0.5750449600000002	2017-12-10 07:13:00
1512886440	11747.12	11820.16	11820.16	11747.12	1.3363417499999999	2017-12-10 07:14:00
1512886500	11727.43	11788.26	11747.12	11729.73	0.65433746	2017-12-10 07:15:00
1512886560	11720.49	11729.73	11729.73	11720.49	0.69539414	2017-12-10 07:16:00
1512886620	11720.53	11770.14	11720.99	11729.01	0.9440860799999999	2017-12-10 07:17:00
1512886680	11715.5	11729.01	11729.01	11716.72	0.21133653	2017-12-10 07:18:00
1512886740	11637.99	11715.78	11715.78	11664.18	1.78065959	2017-12-10 07:19:00
1512886800	11636.68	11668.45	11662.51	11650.28	0.91611933	2017-12-10 07:20:00
1512886860	11648.17	11649.67	11649.67	11648.76	0.19000000000000003	2017-12-10 07:21:00
1512886920	11645.39	11648.76	11648.76	11646.64	1.2749485200000004	2017-12-10 07:22:00
1512886980	11646.63	11646.64	11646.63	11646.64	1.0790560100000002	2017-12-10 07:23:00
1512887040	11650.0	11741.76	11650.0	11741.76	0.85159082	2017-12-10 07:24:00
1512887100	11726.08	11741.76	11741.76	11727.04	0.22279189000000002	2017-12-10 07:25:00
1512887160	11726.08	11730.0	11727.04	11726.08	0.8334596400000001	2017-12-10 07:26:00
1512887220	11726.08	11726.09	11726.09	11726.08	0.5951579400000001	2017-12-10 07:27:00
1512887280	11726.08	11726.09	11726.08	11726.09	1.0726481	2017-12-10 07:28:00
1512887340	11726.08	11726.09	11726.09	11726.09	0.4588732000000001	2017-12-10 07:29:00
1512887400	11726.07	11726.09	11726.09	11726.08	0.58782811	2017-12-10 07:30:00
1512887460	11726.07	11726.09	11726.07	11726.08	1.4417950500000003	2017-12-10 07:31:00
1512887520	11726.06	11726.09	11726.09	11726.07	0.44466774000000003	2017-12-10 07:32:00
1512887580	11726.06	11726.07	11726.06	11726.07	0.5354872500000001	2017-12-10 07:33:00
1512887640	11726.06	11726.07	11726.07	11726.07	0.3414379	2017-12-10 07:34:00
1512887700	11726.06	11813.98	11726.06	11813.98	0.7534015599999999	2017-12-10 07:35:00
1512887760	11808.39	11829.99	11818.51	11829.99	0.7662108600000002	2017-12-10 07:36:00
1512887820	11829.95	11879.99	11829.99	11879.99	1.0018729899999999	2017-12-10 07:37:00
1512887880	11879.98	11900.0	11879.99	11899.99	0.50543961	2017-12-10 07:38:00
1512887940	11900.0	12020.0	11900.0	12019.87	2.0683382900000002	2017-12-10 07:39:00
1512888000	11940.67	12001.0	11972.82	11966.42	1.17573217	2017-12-10 07:40:00
1512888060	11955.19	11984.41	11966.42	11957.01	0.27967208000000005	2017-12-10 07:41:00
1512888120	11956.53	11958.22	11957.0	11956.84	0.28503725	2017-12-10 07:42:00
1512888180	11956.8	11956.81	11956.81	11956.81	0.36008342000000004	2017-12-10 07:43:00
1512888240	11956.81	11956.81	11956.81	11956.81	0.81357494	2017-12-10 07:44:00
1512888300	11956.8	11987.99	11956.8	11987.99	0.7962844200000001	2017-12-10 07:45:00
1512888360	11987.99	12000.0	11988.0	12000.0	1.0559694400000001	2017-12-10 07:46:00
1512888420	11995.54	12026.63	11995.54	12026.62	0.44211238999999997	2017-12-10 07:47:00
1512888480	12004.53	12019.87	12004.53	12013.12	0.7771700000000001	2017-12-10 07:48:00
1512888540	12019.82	12047.63	12019.82	12047.63	0.36669704000000003	2017-12-10 07:49:00
1512888600	12030.22	12079.0	12030.22	12079.0	0.2534063200000001	2017-12-10 07:50:00
1512888660	12079.0	12146.05	12079.0	12146.05	1.5520991800000004	2017-12-10 07:51:00
1512888720	12146.05	12199.89	12146.05	12199.0	1.5429026800000003	2017-12-10 07:52:00
1512888780	12199.0	12200.0	12199.0	12200.0	2.1002777100000003	2017-12-10 07:53:00
1512888840	12199.99	12296.99	12200.0	12296.99	2.4200236899999994	2017-12-10 07:54:00
1512888900	12256.07	12297.0	12294.27	12256.07	2.1620584700000003	2017-12-10 07:55:00
1512888960	12256.01	12292.31	12256.01	12292.31	0.6234249300000001	2017-12-10 07:56:00
1512889020	12292.31	12314.68	12292.31	12299.0	0.6787329700000001	2017-12-10 07:57:00
