	unixtime	low	high	open	close	volume	intervallStart_datetime
0	1512812400	13361.0	13370.0	13368.21	13361.46	11.30953854999998	2017-12-09 10:40:00
1	1512812700	13360.0	13392.12	13361.36	13392.12	5.759739689999987	2017-12-09 10:45:00
2	1512813000	13392.12	13420.0	13392.12	13419.99	7.441128129999989	2017-12-09 10:50:00
3	1512813300	13380.0	13428.0	13419.13	13383.56	6.600539249999986	2017-12-09 10:55:00
4	1512813600	13379.01	13399.34	13383.55	13382.0	5.711166109999991	2017-12-09 11:00:00
5	1512813900	13379.01	13399.0	13382.0	13379.01	5.913209229999986	2017-12-09 11:05:00
6	1512814200	13369.77	13379.5	13379.02	13369.77	8.37276157999999	2017-12-09 11:10:00
7	1512814500	13369.12	13375.0	13369.74	13375.0	4.750566519999991	2017-12-09 11:15:00
8	1512814800	13374.65	13400.0	13374.77	13385.18	6.425902779999991	2017-12-09 11:20:00
9	1512815100	13360.0	13385.18	13385.17	13369.99	5.561437619999989	2017-12-09 11:25:00
10	1512815400	13324.84	13384.63	13370.0	13325.43	4.961422039999991	2017-12-09 11:30:00
11	1512815700	13305.0	13325.43	13325.43	13305.0	7.411632789999986	2017-12-09 11:35:00
12	1512816000	13265.57	13357.97	13304.98	13265.57	7.291874819999991	2017-12-09 11:40:00
13	1512816300	13263.16	13329.91	13271.79	13263.16	7.871744299999984	2017-12-09 11:45:00
14	1512816600	13285.42	13305.48	13294.62	13291.71	5.792553889999986	2017-12-09 11:50:00
15	1512816900	13255.01	13295.34	13291.99	13256.81	6.3391076499999945	2017-12-09 11:55:00
16	1512817200	13200.01	13256.61	13256.61	13200.02	6.237456239999991	2017-12-09 12:00:00
17	1512817500	13105.13	13201.36	13201.36	13106.89	7.383122119999988	2017-12-09 12:05:00
18	1512817800	13106.06	13250.0	13106.82	13209.99	8.898957749999985	2017-12-09 12:10:00
19	1512818100	13202.66	13229.98	13209.99	13229.11	6.363097349999985	2017-12-09 12:15:00
20	1512818400	13149.02	13229.11	13229.11	13150.0	9.029882959999977	2017-12-09 12:20:00
21	1512818700	13149.51	13287.54	13149.51	13287.54	9.575704969999983	2017-12-09 12:25:00
22	1512819000	13285.85	13333.0	13287.54	13331.01	8.472386769999984	2017-12-09 12:30:00
23	1512819300	13316.51	13331.5	13331.01	13326.04	4.816336959999991	2017-12-09 12:35:00
24	1512819600	13294.66	13327.43	13326.04	13319.75	5.391026359999993	2017-12-09 12:40:00
25	1512819900	13286.49	13319.75	13319.75	13286.5	6.882301489999989	2017-12-09 12:45:00
26	1512820200	13286.49	13320.0	13286.5	13320.0	4.002912879999998	2017-12-09 12:50:00
27	1512820500	13319.99	13327.0	13320.0	13327.0	10.090979639999983	2017-12-09 12:55:00
28	1512820800	13326.99	13333.0	13326.99	13332.99	4.653388479999993	2017-12-09 13:00:00
29	1512821100	13332.99	13339.88	13333.0	13339.87	4.488489489999993	2017-12-09 13:05:00
30	1512821400	13339.98	13350.0	13339.98	13350.0	5.269195339999986	2017-12-09 13:10:00
31	1512821700	13349.99	13350.5	13349.99	13350.5	5.919861769999995	2017-12-09 13:15:00
32	1512822000	13350.49	13391.88	13350.5	13391.81	4.838692599999991	2017-12-09 13:20:00
33	1512822300	13361.13	13391.81	13391.8	13378.0	6.213011119999992	2017-12-09 13:25:00
34	1512822600	13348.49	13378.75	13377.98	13348.49	4.66549380999999	2017-12-09 13:30:00
35	1512822900	13216.74	13329.09	13329.09	13256.37	5.006152929999991	2017-12-09 13:35:00
36	1512823200	13230.0	13256.37	13256.37	13236.69	5.388162899999993	2017-12-09 13:40:00
37	1512823500	13202.1	13228.09	13226.12	13219.16	6.75556784999999	2017-12-09 13:45:00
38	1512823800	13200.0	13232.98	13219.16	13201.01	6.06779959999999	2017-12-09 13:50:00
39	1512824100	13200.0	13201.01	13201.01	13200.0	5.810624429999993	2017-12-09 13:55:00
40	1512824400	13200.0	13266.48	13200.01	13249.68	4.810957499999991	2017-12-09 14:00:00
41	1512824700	13249.68	13269.65	13249.68	13268.0	4.791376109999987	2017-12-09 14:05:00
42	1512825000	13267.99	13289.67	13268.0	13286.14	3.833125919999995	2017-12-09 14:10:00
43	1512825300	13289.65	13294.0	13289.65	13294.0	5.178025749999994	2017-12-09 14:15:00
44	1512825600	13241.42	13294.0	13294.0	13249.64	4.552784069999996	2017-12-09 14:20:00
45	1512825900	13249.64	13284.56	13249.64	13284.56	4.294519999999991	2017-12-09 14:25:00
46	1512826200	13284.53	13287.0	13284.56	13287.0	5.838829979999985	2017-12-09 14:30:00
47	1512826500	13286.99	13288.96	13286.99	13288.96	3.4405371799999966	2017-12-09 14:35:00
48	1512826800	13209.76	13289.62	13288.96	13246.0	4.821754309999992	2017-12-09 14:40:00
49	1512827100	13240.0	13281.99	13245.99	13281.0	5.782251619999993	2017-12-09 14:45:00
50	1512827400	13231.61	13281.0	13268.95	13252.77	3.5253428599999928	2017-12-09 14:50:00
51	1512827700	13224.54	13258.81	13252.78	13236.0	5.060306779999988	2017-12-09 14:55:00
52	1512828000	13235.99	13239.75	13235.99	13237.71	5.567210999999993	2017-12-09 15:00:00
53	1512828300	13224.0	13237.71	13237.71	13224.01	3.7768776899999983	2017-12-09 15:05:00
54	1512828600	13221.63	13225.0	13224.0	13223.62	3.136099359999996	2017-12-09 15:10:00
55	1512828900	13150.15	13223.62	13223.62	13150.2	5.283066909999986	2017-12-09 15:15:00
56	1512829200	13150.14	13179.65	13153.59	13179.63	4.137488919999992	2017-12-09 15:20:00
57	1512829500	13156.51	13219.04	13179.63	13190.0	5.1747652699999875	2017-12-09 15:25:00
58	1512829800	13189.99	13225.0	13190.0	13222.27	5.958898819999988	2017-12-09 15:30:00
59	1512830100	13220.88	13225.0	13222.27	13224.99	4.187489489999993	2017-12-09 15:35:00
60	1512830400	13221.38	13225.0	13225.0	13224.29	3.397671579999994	2017-12-09 15:40:00
61	1512830700	13201.0	13240.77	13224.44	13201.01	5.554263499999992	2017-12-09 15:45:00
62	1512831000	13200.0	13201.01	13201.01	13200.0	3.770521929999993	2017-12-09 15:50:00
63	1512831300	13161.0	13200.01	13200.0	13162.0	3.946493749999992	2017-12-09 15:55:00
64	1512831600	13150.01	13162.07	13162.0	13150.01	3.659958009999996	2017-12-09 16:00:00
65	1512831900	13116.99	13150.01	13150.0	13117.0	4.815491299999993	2017-12-09 16:05:00
66	1512832200	13116.5	13117.0	13117.0	13116.6	4.124960349999994	2017-12-09 16:10:00
67	1512832500	13070.0	13116.6	13116.6	13070.64	5.805044699999993	2017-12-09 16:15:00
68	1512832800	13010.04	13070.64	13070.64	13021.0	4.505761699999992	2017-12-09 16:20:00
69	1512833100	12820.66	13021.0	13020.99	12838.94	9.02789955999998	2017-12-09 16:25:00
70	1512833400	12755.22	13010.5	12838.92	13009.77	14.380675209999975	2017-12-09 16:30:00
71	1512833700	12882.67	13009.75	13009.75	12897.99	7.773452989999985	2017-12-09 16:35:00
72	1512834000	12840.01	12898.0	12897.99	12860.0	10.10584670999998	2017-12-09 16:40:00
73	1512834300	12834.21	12880.0	12834.21	12869.9	7.668997319999982	2017-12-09 16:45:00
74	1512834600	12861.0	12870.0	12869.0	12869.09	4.8045588499999905	2017-12-09 16:50:00
75	1512834900	12750.0	12869.01	12869.01	12773.96	7.490524699999983	2017-12-09 16:55:00
76	1512835200	12772.59	12897.11	12772.59	12886.39	6.503092409999985	2017-12-09 17:00:00
77	1512835500	12813.06	12914.69	12887.67	12819.92	7.1259515899999855	2017-12-09 17:05:00
