unixtime;low;high;open;close;volume;intervallStart_datetime;typical_price;macd;macd_delta_absolute;macd_delta_percentage;mfi;mfi_delta_absolute;mfi_delta_percentage;trend_1_intervall;trend_2_intervall;trend_3_intervall;Signal;
1514146500;11663;11810;11787,75;11809,98;15,20182608;24.12.2017 21:15;11760,99333;-93,03345949;11,7532287;0,112163376;45,44939025;7,41851172;0,195065484;UP;UP;UP;0;
1514147400;11809,97;11947;11809,98;11875;11,98942597;24.12.2017 21:30;11877,32333;-76,19256291;16,84089658;0,181019782;46,33788874;0,888498495;0,019549184;UP;UP;UP;0;
1514148300;11870,88;12130,11;11878,8;12086,01;14,0171081;24.12.2017 21:45;12029;-41,95486148;34,23770142;0,449357524;53,93324727;7,59535853;0,163912486;UP;DOWN;DOWN;0;
1514149200;11950,01;12087,53;12086,01;12072,27;15,90089605;24.12.2017 22:00;12036,60333;-14,47512363;27,47973786;0,654983401;60,13991072;6,206663452;0,11508047;DOWN;DOWN;DOWN;0;
1514150100;11866,18;12080;12068,93;11944,6;14,63615349;24.12.2017 22:15;11963,59333;-2,582236647;11,89288698;0,821608664;58,39254706;-1,747363659;-0,029054976;UP;UP;DOWN;0;
1514151000;11944,61;12063,98;11944,61;12049,99;6,72394692;24.12.2017 22:30;12019,52667;17,68168559;20,26392223;7,847430351;64,757996;6,365448932;0,109011325;DOWN;DOWN;DOWN;0;
1514151900;11907,6;12050;12050;11941,62;9,18958811;24.12.2017 22:45;11966,40667;25,11616333;7,434477741;0,420462048;58,3917525;-6,366243495;-0,098308223;DOWN;DOWN;UP;0;
1514152800;11883,87;12020;11941,63;11883,87;13,40138496;24.12.2017 23:00;11929,24667;26,6334266;1,517263267;0,060409834;51,6886638;-6,703088701;-0,114795128;UP;UP;UP;0;
1514153700;11883,86;12000,6;11883,87;11992,9;9,93116356;24.12.2017 23:15;11959,12;34,1317886;7,498362003;0,281539515;58,66123363;6,972569833;0,134895533;UP;UP;UP;0;
1514154600;11985,44;12016,62;11999;12006;8,20448209;24.12.2017 23:30;12002,68667;45,85145191;11,71966331;0,34336505;64,12022934;5,458995708;0,093059681;UP;UP;UP;0;
1514155500;12005,99;12228;12006;12170,27;22,79966107;24.12.2017 23:45;12134,75333;71,84483002;25,99337811;0,566904144;63,42453213;-0,695697208;-0,010849886;UP;UP;UP;0;
1514156400;12170,27;12337,31;12170,27;12326,09;27,41106823;25.12.2017 00:00;12277,89;101,8516204;30,00679034;0,417661094;74,05098549;10,62645336;0,167544844;UP;UP;UP;0;
1514157300;12228,57;12490;12326,09;12394,26;13,9701879;25.12.2017 00:15;12370,94333;129,9634542;28,11183388;0,276007724;83,33662987;9,285644371;0,125395284;DOWN;UP;UP;0;
1514158200;12187,47;12483,19;12394,25;12365,42;18,4167199;25.12.2017 00:30;12345,36;146,9411934;16,97773914;0,130634718;76,46145543;-6,875174431;-0,08249883;UP;UP;UP;0;
1514159100;12335,24;12661,6;12367,78;12507,68;18,83396489;25.12.2017 00:45;12501,50667;166,3103699;19,36917654;0,131815838;77,23158967;0,770134232;0,010072189;UP;DOWN;UP;0;
1514160000;12495,46;12640;12525,66;12629,13;15,95328041;25.12.2017 01:00;12588,19667;190,2682618;23,95789193;0,14405531;77,74883988;0,517250214;0,006697392;DOWN;DOWN;UP;0;
1514160900;12334,99;12629,79;12629,13;12510;12,44280676;25.12.2017 01:15;12491,59333;198,0538512;7,785589322;0,040919012;70,39094345;-7,357896429;-0,094636736;UP;UP;UP;2;1
1514161800;12509,99;12621,53;12510;12621,53;8,27807124;25.12.2017 01:30;12584,35;208,7099022;10,65605107;0,053803806;70,23725729;-0,15368616;-0,002183323;UP;DOWN;DOWN;0;
1514162700;12621,51;12650;12621,52;12649,99;20,97160783;25.12.2017 01:45;12640,5;220,6064559;11,89655365;0,057000427;76,98338519;6,7461279;0,096047713;DOWN;DOWN;DOWN;0;
1514163600;12453,1;12665;12649,98;12459,09;24,43551823;25.12.2017 02:00;12525,73;210,5421354;-10,06432051;-0,045621151;67,37077504;-9,612610147;-0,124866036;DOWN;DOWN;DOWN;0;
1514164500;12453,1;12563,16;12457,58;12468,32;9,46501179;25.12.2017 02:15;12494,86;197,1352444;-13,40689103;-0,063677947;61,88734595;-5,483429091;-0,081391807;DOWN;DOWN;DOWN;0;
1514165400;12324,52;12460,15;12460,01;12458,79;8,28166987;25.12.2017 02:30;12414,48667;182,1352337;-15,00001061;-0,076089949;61,70234889;-0,184997064;-0,002989255;DOWN;DOWN;DOWN;0;
1514166300;12300;12500;12458,79;12300;5,9051945;25.12.2017 02:45;12366,66667;149,8880788;-32,24715495;-0,177050614;57,11705007;-4,585298823;-0,074313197;DOWN;DOWN;DOWN;0;
1514167200;12252;12318,1;12300;12318,1;8,86518957;25.12.2017 03:00;12296,06667;119,2961252;-30,59195361;-0,204098644;53,65122853;-3,465821539;-0,060679281;UP;DOWN;DOWN;0;
1514168100;12318,09;12318,1;12318,1;12318,1;7,32477572;25.12.2017 03:15;12318,09667;90,24537754;-29,05074765;-0,243517948;53,8331157;0,181887176;0,003390177;DOWN;DOWN;DOWN;0;
1514169000;12200;12318,1;12318,09;12200;17,21081188;25.12.2017 03:30;12239,36667;57,22935146;-33,01602608;-0,365847282;46,77292811;-7,06018759;-0,131149526;DOWN;DOWN;DOWN;0;
