Unnamed: 0	unixtime	low	high	open	close	volume	intervallStart_datetime	EMA_12	EMA_26	MACD	Signal_Line	Histogram	Histogram_Delta_Percentage	Histogram_Extrems	MFI
70	1512833400	12755.22	13010.5	12838.92	13009.77	14.380675209999973	2017-12-09 16:30:00	13079.383834	13149.5706264	-70.186792414	-46.2754747707	-23.9113176433	0.158530305715	Minimum	35.57621451277332
71	1512833700	12882.67	13009.75	13009.75	12897.99	7.773452989999986	2017-12-09 16:35:00	13051.4770903	13130.9350245	-79.4579341494	-52.9119666465	-26.5459675029	-0.110184218993	Maximum	43.834953974157685
72	1512834000	12840.01	12898.0	12897.99	12860.0	10.10584670999998	2017-12-09 16:40:00	13022.0190764	13110.8657634	-88.8466869717	-60.0989107115	-28.7477762601	-0.0829432476704		36.041221647023924
73	1512834300	12834.21	12880.0	12834.21	12869.9	7.668997319999982	2017-12-09 16:45:00	12998.6161416	13093.0164476	-94.400305998	-66.9591897688	-27.4411162292	0.0454525601961	Minimum	27.270503935363564
74	1512834600	12861.0	12870.0	12869.0	12869.09	4.804558849999991	2017-12-09 16:50:00	12978.6890429	13076.4293033	-97.7402604374	-73.1154039025	-24.6248565349	0.102629195939		34.81043899757161
75	1512834900	12750.0	12869.01	12869.01	12773.96	7.490524699999982	2017-12-09 16:55:00	12947.192267	13054.0241697	-106.831902686	-79.8587036591	-26.9731990264	-0.095364717687	Maximum	34.30732261607774
76	1512835200	12772.59	12897.11	12772.59	12886.39	6.503092409999986	2017-12-09 17:00:00	12937.8380721	13041.6068238	-103.76875171	-84.6407132693	-19.1280384405	0.290850209433	Minimum	41.70871117123737
77	1512835500	12813.06	12914.69	12887.67	12819.92	7.1259515899999855	2017-12-09 17:05:00	12919.6968303	13025.1855776	-105.488747365	-88.8103200883	-16.6784272762	0.128063898027		40.557553204938614
78	1512835800	12662.02	12819.75	12817.61	12662.03	9.51448621999998	2017-12-09 17:10:00	12880.0557794	12998.2851645	-118.229385016	-94.6941330738	-23.535251942	-0.411119379077	Maximum	39.288289332491075
79	1512836100	12500.0	12669.87	12669.87	12500.1	14.304423729999973	2017-12-09 17:15:00	12821.6010441	12961.3825597	-139.78151554	-103.711609567	-36.0699059731	-0.532590603319		37.1485592262044
80	1512836400	12500.98	12695.91	12501.0	12650.0	14.969033179999974	2017-12-09 17:20:00	12795.2008835	12938.3171849	-143.116301386	-111.592547931	-31.5237534554	0.126037271098	Minimum	46.53016886862099
81	1512836700	12551.11	12695.91	12650.0	12551.12	8.064159389999986	2017-12-09 17:25:00	12757.6499784	12909.6359119	-151.985933586	-119.671225062	-32.3147085243	-0.025090764333	Maximum	42.58315673140576
82	1512837000	12341.33	12553.52	12553.52	12381.71	12.814487539999964	2017-12-09 17:30:00	12699.8130586	12870.5302888	-170.717230226	-129.880426095	-40.8368041314	-0.263721877631		41.906689953707414
83	1512837300	12200.0	12480.42	12349.87	12395.14	14.842649439999974	2017-12-09 17:35:00	12652.9402804	12835.3161934	-182.375913004	-140.379523477	-41.9963895275	-0.0283955961003		39.45027613545542
84	1512837600	12300.0	12397.0	12395.14	12365.73	11.465102099999964	2017-12-09 17:40:00	12608.7540834	12800.5320309	-191.777947511	-150.659208284	-41.1187392276	0.0208982322009	Minimum	31.432248544074085
85	1512837900	12300.0	12375.0	12375.0	12300.99	12.170714759999983	2017-12-09 17:45:00	12561.4057629	12763.5289175	-202.123154632	-160.951997553	-41.1711570786	-0.00127479227303	Maximum	21.53370017923629
86	1512838200	12259.12	12302.0	12300.99	12287.0	16.198758019999968	2017-12-09 17:50:00	12519.1894917	12728.2304792	-209.040987509	-170.569795544	-38.4711919641	0.0655790438277	Minimum	20.937201363302947
87	1512838500	12131.44	12287.0	12283.25	12209.91	10.326685959999981	2017-12-09 17:55:00	12471.6080314	12689.8363696	-218.228338195	-180.101504075	-38.1268341206	0.00895105729581		20.159372582037264
88	1512838800	11727.0	12209.95	12135.0	11727.0	28.93336336000002	2017-12-09 18:00:00	12357.0529496	12618.515157	-261.462207386	-196.373644737	-65.0885626493	-0.707158859384	Maximum	14.628011185841885
89	1512839100	11721.7	12154.98	11790.0	11900.0	25.048548840000038	2017-12-09 18:05:00	12286.7371112	12565.2918121	-278.554700828	-212.809855955	-65.7448448727	-0.0100829116002		28.606675933647637
90	1512839400	11801.03	11949.99	11921.69	11949.99	21.56269653999999	2017-12-09 18:10:00	12234.9298634	12519.7139001	-284.784036706	-227.204692105	-57.5793446004	0.124199856097	Minimum	22.10845151209574
91	1512839700	11600.08	11998.99	11950.0	11614.79	17.953179949999978	2017-12-09 18:15:00	12139.5237305	12452.6825001	-313.158769525	-244.395507589	-68.7632619358	-0.19423488428	Maximum	20.603152032275347
92	1512840000	11555.0	11899.0	11600.02	11698.99	21.59317677	2017-12-09 18:20:00	12071.7493104	12396.853426	-325.104115528	-260.537229177	-64.5668863514	0.0610264182684	Minimum	19.680252032064843
93	1512840300	11698.92	11979.97	11698.99	11966.0	14.926408139999964	2017-12-09 18:25:00	12055.4801858	12364.9383574	-309.458171622	-270.321417666	-39.136753956	0.393857189536		27.810513420900477
94	1512840600	11730.0	11993.22	11965.99	11730.0	17.970183179999992	2017-12-09 18:30:00	12005.406311	12317.9058865	-312.499575437	-278.75704922	-33.7425262172	0.137830228456		21.395697585993148
95	1512840900	11668.0	11759.99	11749.99	11745.3	15.077394419999955	2017-12-09 18:35:00	11965.3899555	12275.4906356	-310.100680131	-285.025775402	-25.0749047287	0.256875298329		21.216825641086103
96	1512841200	11700.39	11829.99	11745.3	11706.43	12.200836909999964	2017-12-09 18:40:00	11925.5499623	12233.3379959	-307.788033608	-289.578227043	-18.2098065642	0.273783619072		26.78385482855677
97	1512841500	11539.03	11713.0	11706.47	11574.98	18.35251543	2017-12-09 18:45:00	11871.616122	12184.570737	-312.954615008	-294.253504636	-18.7011103719	-0.0269801771871	Maximum	26.93227707054062
98	1512841800	11111.01	11575.0	11574.98	11130.52	20.972446630000004	2017-12-09 18:50:00	11757.601334	12106.4929046	-348.891570635	-305.181117836	-43.7104527992	-1.33731858323		26.65742998245139
99	1512842100	11110.02	11650.0	11149.95	11579.93	22.65790985	2017-12-09 18:55:00	11730.2672826	12067.488245	-337.220962416	-311.589086752	-25.6318756637	0.413598486809	Minimum	33.70178616899406
100	1512842400	11501.0	12594.98	11508.59	12549.83	18.986388259999988	2017-12-09 19:00:00	11856.3538545	12103.2172639	-246.863409396	-298.643951281	51.7805418851	3.02016202655		40.863879676782176
101	1512842700	11939.83	12548.93	12545.05	12219.99	16.13358536999998	2017-12-09 19:05:00	11912.2978769	12111.8670962	-199.569219316	-278.829004888	79.2597855721	0.530686676629		47.82181973688292
102	1512843000	12219.96	12628.92	12219.99	12628.92	21.633053080000003	2017-12-09 19:10:00	12022.5474343	12150.1673113	-127.61987701	-248.587179312	120.967302302	0.526212838314		52.90756268218785
103	1512843300	12350.52	12968.0	12620.99	12454.07	16.504149389999984	2017-12-09 19:15:00	12088.9355213	12172.6786216	-83.743100252	-215.6183635	131.875263248	0.0901728048691		51.801188499813016
104	1512843600	12392.29	12648.98	12392.29	12404.99	16.837119809999983	2017-12-09 19:20:00	12137.5592873	12189.8868718	-52.3275845554	-182.960207711	130.632623156	-0.00942284445022	Maximum	53.34715604587414
105	1512843900	12404.99	12699.0	12404.99	12665.11	15.419144019999976	2017-12-09 19:25:00	12218.7209354	12225.088585	-6.36764964156	-147.641696097	141.274046456	0.0814606875592	Minimum	61.17859759823769
106	1512844200	12323.01	12665.11	12665.1	12378.94	11.61153111999998	2017-12-09 19:30:00	12243.3700222	12236.4849861	6.88503611309	-116.736349655	123.621385768	-0.124953316836	Maximum	61.51924215127049
107	1512844500	12375.0	12550.0	12378.94	12400.7	10.171715039999976	2017-12-09 19:35:00	12267.5746342	12248.6490612	18.9255729737	-89.6039651295	108.529538103	-0.122081204408		55.03768526714832
108	1512844800	12403.11	12680.0	12403.47	12558.71	12.962748639999983	2017-12-09 19:40:00	12312.3646905	12271.6165382	40.7481523035	-63.5335416429	104.281693946	-0.039139981898		60.508815162206375
109	1512845100	12545.05	12683.88	12558.71	12660.38	13.282978809999971	2017-12-09 19:45:00	12365.9055073	12300.4138317	65.4916756839	-37.7284981775	103.220173861	-0.0101793521456		67.45559806139536
110	1512845400	12556.4	12669.96	12668.0	12600.0	9.42274017999998	2017-12-09 19:50:00	12401.9200447	12322.6053997	79.3146449911	-14.3198695438	93.6345145349	-0.0928661420328		61.28309004087337
