	unixtime	low	high	open	close	volume	intervallStart_datetime	typical_price	macd	macd_delta_absolute	macd_delta_percentage	mfi	mfi_delta_absolute	mfi_delta_percentage	trend_1_intervall	trend_2_intervall	trend_3_intervall
26	1511959500	9325.46	9360.0	9359.88	9331.25	21.555011980000046	2017-11-29 13:45:00	9338.903333333334	62.41500139674463	-10.123853492666967	-0.13956456175247306	82.92508819214143	-5.022616608779401	-0.05710912661278243	DOWN	DOWN	DOWN
27	1511960400	9320.22	9344.99	9330.23	9324.97	21.991468970000046	2017-11-29 14:00:00	9330.06	51.893102924515915	-10.521898472228713	-0.16857964009879045	77.53972152324619	-5.385366668895244	-0.0649425497916516	DOWN	UP	UP
28	1511961300	9320.0	9344.15	9329.98	9321.88	16.854868299999946	2017-11-29 14:15:00	9328.676666666666	41.34320883982582	-10.549894084690095	-0.2033005060428945	71.17966226988725	-6.360059253358941	-0.08202324084246566	UP	UP	UP
29	1511962200	9320.0	9344.8	9321.88	9344.69	16.677579069999968	2017-11-29 14:30:00	9336.496666666666	34.299867941817865	-7.043340898007955	-0.17036270516146101	69.82152810686742	-1.3581341630198267	-0.019080368179751665	UP	UP	UP
30	1511963100	9344.69	9489.9	9344.7	9489.9	40.78892410999996	2017-11-29 14:45:00	9441.496666666666	39.7805788778187	5.480710936000833	0.15978810604453772	67.73361377705677	-2.087914329810644	-0.029903589715408758	UP	UP	UP
31	1511964000	9450.0	9693.99	9489.9	9504.27	52.14425537	2017-11-29 15:00:00	9549.42	44.2994268563707	4.518847978552003	0.11359432431667486	68.70049425385112	0.9668804767943442	0.014274751085580687	UP	UP	DOWN
32	1511964900	9500.0	9689.99	9500.49	9549.97	38.185203000000094	2017-11-29 15:15:00	9579.986666666666	52.349560573111376	8.050133716740675	0.18172094512285963	70.6977575242221	1.9972632703709792	0.02907203641055347	DOWN	DOWN	UP
33	1511965800	9549.96	9583.27	9549.97	9579.27	22.79475125000002	2017-11-29 15:30:00	9570.833333333334	60.798304491831004	8.448743918719629	0.16139092336639801	61.4936537884066	-9.204103735815501	-0.13018947217190077	DOWN	UP	DOWN
34	1511966700	9525.01	9579.27	9579.27	9540.99	16.741133669999947	2017-11-29 15:45:00	9548.423333333332	62.79097786163766	1.9926733698066528	0.032775147045003415	62.20730758327717	0.7136537948705737	0.011605324304296241	UP	DOWN	DOWN
35	1511967600	9529.21	9684.97	9540.99	9550.11	20.380336420000017	2017-11-29 16:00:00	9588.096666666666	66.00742254550278	3.21644468386512	0.0512246312034299	60.266811740546345	-1.9404958427308259	-0.031194017521704767	DOWN	DOWN	DOWN
