;unixtime;low;high;open;close;volume;datetime;typical_price;macd;macd_delta_absolute;macd_delta_percentage;mfi;mfi_delta_absolute;mfi_delta_percentage;trend_1_intervall;trend_2_intervall;trend_3_intervall
41;1514352600;13819,35;13904,53;13819,35;13837,87;4,73996686;27.12.2017 05:30;13853,91667;20,70649899;-11,04679241;-0,533493973;27,73987669;-10,09150618;-0,363790593;DOWN;UP;UP
42;1514351700;13719;13833,07;13719;13818,79;4,88403113;27.12.2017 05:15;13790,28667;8,264042152;-12,44245684;-1,505613913;30,00704307;2,267166375;0,075554475;UP;UP;UP
43;1514350800;13850;13873,61;13862,33;13850;0,1769375;27.12.2017 05:00;13857,87;1,97892631;-6,285115842;-3,176023185;25,04316212;-4,963880944;-0,198213026;UP;UP;UP
44;1514349900;13848,04;13916;13853,04;13884,93;6,30750082;27.12.2017 04:45;13882,99;-1,72993075;-3,708857061;2,143933831;27,53537489;2,492212767;0,090509491;UP;DOWN;DOWN
45;1514349000;13898;13900;13899,98;13898,01;8,24806789;27.12.2017 04:30;13898,67;-1,836391619;-0,106460868;0,057972857;37,42983427;9,894459378;0,264346866;DOWN;DOWN;DOWN
46;1514348100;13797,99;13899,98;13798;13899,97;11,32217273;27.12.2017 04:15;13865,98;-2,20537056;-0,368978942;0,167309271;26,50051944;-10,92931483;-0,412418891;DOWN;DOWN;DOWN
47;1514347200;13648,99;13798;13648,99;13798;14,85555459;27.12.2017 04:00;13748,33;-13,50094516;-11,2955746;0,836650654;26,17834475;-0,322174683;-0,012306916;DOWN;DOWN;DOWN
48;1514346300;13623,61;13649,49;13649,49;13648,98;1,58576837;27.12.2017 03:45;13640,69333;-36,76226695;-23,26132179;0,632749929;24,21361589;-1,964728867;-0,08114149;DOWN;DOWN;DOWN
49;1514345400;13610;13649,49;13610;13649,48;1,27662616;27.12.2017 03:30;13636,32333;-52,4689642;-15,70669726;0,29935215;18,06450069;-6,1491152;-0,34039774;DOWN;DOWN;DOWN
50;1514344500;13610;13635,94;13610,01;13610,01;1,32319916;27.12.2017 03:15;13618,65;-69,09112455;-16,62216035;0,24058315;21,69007853;3,625577839;0,167153744;DOWN;UP;DOWN
51;1514343600;13610;13630,01;13630,01;13610,01;1,36990454;27.12.2017 03:00;13616,67333;-81,0608361;-11,96971155;0,147663312;23,18805788;1,497979353;0,064601329;UP;DOWN;DOWN
52;1514342700;13601;13655;13601;13630,01;1,38031534;27.12.2017 02:45;13628,67;-85,5883335;-4,527497396;0,052898534;17,35816252;-5,829895361;-0,335859015;DOWN;DOWN;UP
53;1514341800;13589,99;13601;13590;13601;8,45240669;27.12.2017 02:30;13597,33;-89,06668591;-3,478352411;0,039053349;19,04907824;1,690915723;0,088766275;UP;UP;UP
54;1514340900;13585,02;13655;13655;13590;4,41934091;27.12.2017 02:15;13610,00667;-91,66138087;-2,59469496;0,028307395;30,73361475;11,68453651;0,380187511;UP;UP;UP
55;1514340000;13658,01;13689,12;13689,12;13658,01;3,04791407;27.12.2017 02:00;13668,38;-86,49170964;5,169671231;-0,059770714;36,25177928;5,518164528;0,152217757;UP;UP;UP
56;1514339100;13659,62;13729,95;13729,94;13665,24;3,85980863;27.12.2017 01:45;13684,93667;-81,47716092;5,014548719;-0,061545452;41,58400558;5,3322263;0,128227818;UP;UP;DOWN
57;1514338200;13666,8;13730;13669;13729,99;5,22647641;27.12.2017 01:30;13708,93;-71,66314749;9,814013423;-0,136946447;40,67124684;-0,912758747;-0,02244236;DOWN;DOWN;DOWN
58;1514337300;13669;13725,77;13680;13669,01;7,22513708;27.12.2017 01:15;13687,92667;-68,10361399;3,559533508;-0,052266441;37,60916032;-3,062086514;-0,081418635;DOWN;DOWN;DOWN
59;1514336400;13582,99;13680;13583;13680;6,79776498;27.12.2017 01:00;13647,66333;-61,66548626;6,438127729;-0,10440407;28,52175867;-9,087401648;-0,318612949;DOWN;DOWN;DOWN
60;1514335500;13531,05;13585;13533,68;13582,99;6,35445181;27.12.2017 00:45;13566,34667;-61,38513215;0,280354108;-0,004567134;29,15251392;0,630755248;0,021636393;DOWN;DOWN;DOWN
