"index"	"time"	"low"	"high"	"open"	"close"	"volume"	"datetime"	"macd_histogram"	"macd_histogram_slopePercentage"	"macd_histogram_extrems"	"mfi"	"rsi"	"signal"	"bitcoins"	"budget"	"profit"
0	1512752400	13150	13478.99	13478.99	13285	23.766734420000112	"2017-12-08 18:00"	0	0	""	0	0	null	null	null	null
1	1512753300	13250	13369.13	13285	13337.99	21.92582883000003	"2017-12-08 18:15"	0	null		0	0	null	null	null	null
2	1512754200	13250	13369.12	13337.99	13295.7	19.859693460000006	"2017-12-08 18:30"	0	null		0	0	null	null	null	null
3	1512755100	13197.23	13300	13295.69	13198.85	21.013139410000022	"2017-12-08 18:45"	0	null		0	0	null	null	null	null
4	1512756000	13167.7	13299.99	13198.85	13169.53	21.153042180000035	"2017-12-08 19:00"	0	null		0	0	null	null	null	null
5	1512756900	13100	13248.99	13169.07	13100.1	22.68114570000003	"2017-12-08 19:15"	0	null		0	0	null	null	null	null
6	1512757800	13100.51	13235	13100.51	13235	27.739327080000155	"2017-12-08 19:30"	0	null		0	0	null	null	null	null
7	1512758700	13234.99	13381.84	13235	13370	18.283321409999992	"2017-12-08 19:45"	0	null		0	0	null	null	null	null
8	1512759600	13349.99	13649	13398.99	13647.82	30.907257980000082	"2017-12-08 20:00"	0	null		0	0	null	null	null	null
9	1512760500	13370	13644.38	13644.38	13445.38	31.12149255000017	"2017-12-08 20:15"	0	null		0	0	null	null	null	null
10	1512761400	13380.18	13491.73	13415.85	13389.99	26.464379930000057	"2017-12-08 20:30"	0	null		0	0	null	null	null	null
11	1512762300	13271.19	13390	13390	13300.91	21.692318370000006	"2017-12-08 20:45"	0	null		0	0	null	null	null	null
12	1512763200	13271.18	13380	13300.91	13339	22.949103390000012	"2017-12-08 21:00"	0	null		0	0	null	null	null	null
13	1512764100	13266.92	13339.95	13339	13307.96	19.301286480000023	"2017-12-08 21:15"	0	null		0	0	null	null	null	null
14	1512765000	13234.23	13323.38	13299	13234.23	28.831408990000124	"2017-12-08 21:30"	0	null		36.55098878048246	48.08901134473074	null	null	null	null
15	1512765900	13100.05	13250	13241.7	13200	31.25508317000013	"2017-12-08 21:45"	0	null		29.199934412222717	46.79054520417195	null	null	null	null
16	1512766800	13200	13380	13200	13309.05	20.633370529999986	"2017-12-08 22:00"	0	null		35.12622474658811	51.30183600286855	null	null	null	null
17	1512767700	13290.02	13493	13309.05	13493	21.59029572000006	"2017-12-08 22:15"	0	null		41.3490313948555	57.801200780446464	null	null	null	null
18	1512768600	13402.62	13499.99	13493	13493	20.09640157999999	"2017-12-08 22:30"	0	null		47.33437245798709	57.80120078044647	null	null	null	null
19	1512769500	13493	13675.61	13493	13648	36.18452203000003	"2017-12-08 22:45"	0	null		55.71820398291555	62.66995757238742	null	null	null	null
20	1512770400	13647.99	13798	13648	13748.96	34.325093780000095	"2017-12-08 23:00"	0	null		56.674724677140304	65.46494862064918	null	null	null	null
21	1512771300	13654.66	13748.88	13748	13685.1	19.835092700000025	"2017-12-08 23:15"	0	null		51.38851417415873	62.288136496654836	null	null	null	null
22	1512772200	13603.87	13687.43	13685.11	13640.15	18.273189839999986	"2017-12-08 23:30"	0	null		44.39162073052331	60.07817406858198	null	null	null	null
23	1512773100	13639.99	13734.63	13640.14	13705.52	15.256980499999951	"2017-12-08 23:45"	0	null		51.0697862625422	62.17971485568543	null	null	null	null
24	1512774000	13642.06	13738	13705.52	13652.36	11.784122439999958	"2017-12-09 00:00"	0	null		53.35480977943108	59.4394449417267	null	null	null	null
25	1512774900	13651.35	13697	13674.45	13694.03	10.266710049999974	"2017-12-09 00:15"	0	null		58.601516460927265	60.89426177245484	null	null	null	null
26	1512775800	13694.03	13700	13694.04	13700	20.054333840000034	"2017-12-09 00:30"	0	null		58.29064209876801	61.10948228720871	null	null	null	null
27	1512776700	13699.99	13740	13700	13701.15	23.781118829999976	"2017-12-09 00:45"	0	null		65.05272287262447	61.153832891709925	null	null	null	null
28	1512777600	13699.99	13776.3	13701.14	13771.01	12.561372409999981	"2017-12-09 01:00"	0	null		72.75099226506956	63.85076696892821	null	null	null	null
29	1512778500	13769.96	13776.31	13771.01	13776.31	13.667161179999965	"2017-12-09 01:15"	0	null		82.00956866276867	64.05465735876456	null	null	null	null
30	1512779400	13691.99	13776.31	13776.31	13697.57	15.218465349999981	"2017-12-09 01:30"	0	null		76.08903693605967	58.752772873982885	null	null	null	null
31	1512780300	13650.02	13697.56	13697.56	13650.02	12.948397049999985	"2017-12-09 01:45"	0	null		70.44476035870119	55.75169399178754	null	null	null	null
32	1512781200	13611.9	13650.02	13650.02	13613.42	5.981080859999985	"2017-12-09 02:00"	0	null		66.43265265724426	53.48698498204179	null	null	null	null
33	1512782100	13523.68	13613.42	13613.42	13523.68	10.31769802999998	"2017-12-09 02:15"	-41.043867590636296	null		58.02853936607997	48.30564717124521	null	null	null	null
34	1512783000	13365.04	13523.68	13523.68	13498.94	9.600934039999983	"2017-12-09 02:30"	-47.436286570735035	-0.1557460189633079		48.033574461637606	46.955205443377075	null	null	null	null
35	1512783900	13345.67	13499.11	13498.94	13345.67	7.323249299999979	"2017-12-09 02:45"	-59.917897826683244	-0.26312370040467115		51.29497351358936	39.573960671605384	null	null	null	null
36	1512784800	13302.96	13448.92	13345.36	13415	15.490743229999975	"2017-12-09 03:00"	-61.219413171848686	-0.02172164565803304		52.150039493790885	43.87203466290159	null	null	null	null
37	1512785700	13415	13485.7	13415	13481.11	13.612800109999998	"2017-12-09 03:15"	-55.511194861001314	0.09324196386567546	"min"	51.6562016668528	47.69273036614005	null	null	null	null
38	1512786600	13481.11	13499.94	13481.11	13499.94	11.357622469999999	"2017-12-09 03:30"	-48.59942343536261	0.12451130700655269		57.99927473159558	48.76256916047892	null	null	null	null
39	1512787500	13499.93	13581.88	13499.93	13580.99	9.091069689999992	"2017-12-09 03:45"	-37.21411175396688	0.2342684516934286		57.705436076392935	53.199607384746884	null	null	null	null
40	1512788400	13580.98	13722.99	13580.98	13707.5	10.389145199999998	"2017-12-09 04:00"	-20.635739073334918	0.445486185193303		55.297741982177	59.14651814320419	null	null	null	null
41	1512789300	13707.5	13721.32	13707.5	13721.09	8.155097459999993	"2017-12-09 04:15"	-8.83077962983318	0.5720638064645751		50.772118859380306	59.7383693932718	null	null	null	null
42	1512790200	13717.47	13721.37	13721.09	13717.48	17.912922990000038	"2017-12-09 04:30"	-1.7140752923871503	0.8058976257774049		52.41424424196482	59.49181477690859	null	null	null	null
43	1512791100	13717.45	13717.48	13717.48	13717.45	8.34176277999999	"2017-12-09 04:45"	2.3234261307929245	2.3554982917682374		45.345090323228064	59.4896174246391	null	null	null	null
44	1512792000	13717.45	13750	13717.45	13749.9	6.249162179999996	"2017-12-09 05:00"	6.286792487793299	1.705828433481456		52.452017952550676	61.16067817010681	null	null	null	null
45	1512792900	13749.9	13776	13749.91	13775.04	9.32748653999999	"2017-12-09 05:15"	9.515090213685134	0.5135047374571426		60.36663559992925	62.45290136418345	null	null	null	null
